Archivo;Cara;Ojo;Pupila;Blanco;Negro;Rojo;Amarillo;Flash;Positivo;Detalles;Altura de cara
\Pos1,jpg;99;99;1;1;0;0;0;true;true;seleccion manual;
\Pos1,jpg;99;99;2;1;0;0;0;true;true;seleccion manual;
\Pos2,jpg;99;99;1;1;0;0;0;false;true;seleccion manual;
\Pos2,jpg;99;99;2;0;0,090909091;0,909090909;0;false;false;seleccion manual;
\Pos3,jpg;1;1;1;0;1;0;0;true;false;mayor;161
\Pos3,jpg;1;2;1;0,023809524;0,976190476;0;0;true;true;mayor;161
\Pos3,jpg;99;99;1;0;1;0;0;true;false;seleccion manual;161
\Pos3,jpg;99;99;2;0,5;0,5;0;0;true;true;seleccion manual;161
\Pos4,JPG;2;1;1;1;0;0;0;true;true;;382
\Pos4,JPG;2;2;1;0,013618677;0,986381323;0;0;true;false;iris;382
\Pos4,JPG;99;99;1;0,047945205;0,952054795;0;0;true;false;seleccion manual;382
\Pos5,jpg;1;1;1;0;0,202;0,798;0;false;true;mayor;301
\Pos5,jpg;1;2;1;0,003552398;0,664298401;0,332149201;0;false;false;mayor;301
\Pos5,jpg;99;99;1;0;0,030927835;0,969072165;0;false;true;seleccion manual;301
\Pos5,jpg;99;99;2;0;1;0;0;false;false;seleccion manual;301
\Pos6,jpg;1;1;1;0,990909091;0,009090909;0;0;true;true;;366
\Pos6,jpg;1;2;1;0,033457249;0;0,966542751;0;true;false;;366
\Pos7,jpg;1;1;1;0,01199262;0,98800738;0;0;false;false;;730
\Pos7,jpg;1;2;1;1;0;0;0;false;true;;730
\Pos7,jpg;1;3;1;0;0;1;0;false;false;invalido;730
\Pos8,jpg;1;1;1;0,029411765;0,617647059;0,352941176;0;true;false;;529
\Pos8,jpg;1;2;1;0;0;0;1;true;true;;529
\Pos9,jpg;2;1;1;0,545454545;0,454545455;0;0;true;true;mayor;313
\Pos9,jpg;2;2;1;0,094339623;0;0,905660377;0;true;false;iris;313
\Pos9,jpg;99;99;1;0,647058824;0,352941176;0;0;true;true;seleccion manual;313
\Pos9,jpg;99;99;2;0;0;1;0;true;false;seleccion manual;313
\Pos10,jpg;99;99;1;0,023255814;0,813953488;0;0,162790698;false;true;seleccion manual;
\Pos10,jpg;99;99;2;0;0,434782609;0,550724638;0,014492754;false;false;seleccion manual;
\Pos11,jpg;99;99;1;0,958333333;0,041666667;0;0;true;true;seleccion manual;
\Pos11,jpg;99;99;2;0,8;0,2;0;0;true;false;seleccion manual;
\Pos12,jpg;1;1;1;0,696969697;0,181818182;0,121212121;0;false;true;;304
\Pos12,jpg;1;3;1;1;0;0;0;false;true;;304
\Pos13,jpg;99;99;1;0;0;1;0;true;false;seleccion manual;
\Pos13,jpg;99;99;2;1;0;0;0;true;true;seleccion manual;
\Pos14,png;2;1;1;0;1;0;0;false;false;iris;257
\Pos14,png;2;2;1;0,004264392;0,980810235;0,014925373;0;false;false;mayor;257
\Pos14,png;99;99;1;0;1;0;0;false;false;seleccion manual;257
\Pos14,png;99;99;2;0;1;0;0;false;false;seleccion manual;257
\Pos15,jpg;1;1;1;0,034340659;0,965659341;0;0;true;false;iris;550
\Pos15,jpg;1;2;1;0,395644283;0,163339383;0,2323049;0,208711434;true;true;mayor;550
\Pos15,jpg;99;99;1;0,085324232;0,914675768;0;0;true;false;seleccion manual;550
\Pos15,jpg;99;99;2;0,110091743;0;0,486238532;0,403669725;true;true;seleccion manual;550
\Pos16,jpg;99;99;1;0,896551724;0,103448276;0;0;true;true;seleccion manual;
\Pos16,jpg;99;99;2;0,074324324;0,006756757;0,918918919;0;true;false;seleccion manual;
\Pos17,jpg;1;1;1;0,75;0;0,25;0;true;true;iris;177
\Pos17,jpg;99;99;1;1;0;0;0;true;true;seleccion manual;177
\Pos17,jpg;99;99;2;0;0;1;0;true;false;seleccion manual;177
\Pos18,jpg;1;1;1;1;0;0;0;true;true;mayor;384
\Pos18,jpg;1;3;1;0,077777778;0,077777778;0,844444444;0;true;false;mayor;384
\Pos18,jpg;99;99;1;1;0;0;0;true;true;seleccion manual;384
\Pos18,jpg;99;99;2;0,084337349;0;0,915662651;0;true;false;seleccion manual;384
\Pos19,jpg;1;1;1;0,027692308;0,003076923;0,969230769;0;true;false;;1002
\Pos19,jpg;1;2;1;0,048837209;0;0,951162791;0;true;false;;1002
\Pos20,jpg;3;1;1;0,006060606;0;0,993939394;0;true;false;iris;
\Pos20,jpg;3;2;1;0,007936508;0;0,992063492;0;true;false;mayor;
\Pos20,jpg;4;1;1;0,109375;0;0,890625;0;true;false;;
\Pos20,jpg;4;3;1;1;0;0;0;true;true;iris;
\Pos20,jpg;5;1;1;0,170731707;0;0,829268293;0;true;false;;
